strategy,strategy_family,config_id,batch_size,lookback_batches,stability,epsilon,traces,success_rate,median_shots,mean_shots,p95_shots,max_shots,median_tvd,mean_tvd,p95_tvd,max_tvd,stable_stop_rate,max_budget_rate
fixed_1000,fixed,,,,,,180,0.2833333333333333,1000.0,1000.0,1000.0,1000.0,0.097975,0.24337972222222223,0.89074,0.89645,0.0,0.0
fixed_2500,fixed,,,,,,180,0.43333333333333335,2500.0,2500.0,2500.0,2500.0,0.06112499999999995,0.16896138888888887,0.745785,0.75515,0.0,0.0
stable_shots_b50_lb1_k1_eps0p005,stable_shots,b50_lb1_k1_eps0p005,50.0,1.0,1.0,0.005,180,0.45,3600.0,4814.444444444444,10000.0,10000.0,0.05369395962227285,0.08514053888081179,0.3123375,0.32025,1.0,0.0
stable_shots_b50_lb1_k2_eps0p005,stable_shots,b50_lb1_k2_eps0p005,50.0,1.0,2.0,0.005,180,0.4777777777777778,3925.0,5010.277777777777,10050.0,10050.0,0.0522869925136769,0.08311014850000223,0.3107728855721393,0.319094527363184,1.0,0.0
stable_shots_b50_lb1_k3_eps0p005,stable_shots,b50_lb1_k3_eps0p005,50.0,1.0,3.0,0.005,180,0.48333333333333334,4325.0,5143.333333333333,10100.0,10100.0,0.05064999999999995,0.08163469465958137,0.30954955445544546,0.3182633663366336,1.0,0.0
stable_shots_b50_lb1_k5_eps0p005,stable_shots,b50_lb1_k5_eps0p005,50.0,1.0,5.0,0.005,180,0.5333333333333333,4500.0,5347.5,10200.0,10200.0,0.0479775689223057,0.0797890191452291,0.3073915196078431,0.3155627450980392,1.0,0.0
stable_shots_b50_lb1_k10_eps0p005,stable_shots,b50_lb1_k10_eps0p005,50.0,1.0,10.0,0.005,180,0.5777777777777777,4750.0,5707.777777777777,10450.0,10450.0,0.04421766304347825,0.07701816824120515,0.30235117224880376,0.3093722488038277,1.0,0.0
stable_shots_b50_lb2_k1_eps0p005,stable_shots,b50_lb2_k1_eps0p005,50.0,2.0,1.0,0.005,180,0.8777777777777778,5300.0,8462.5,19900.0,19900.0,0.030711638231197748,0.03164167486982005,0.06359027874564452,0.0775888888888888,1.0,0.0
stable_shots_b100_lb1_k1_eps0p005,stable_shots,b100_lb1_k1_eps0p005,100.0,1.0,1.0,0.005,180,0.8833333333333333,5450.0,8566.111111111111,19900.0,19900.0,0.03004266541822715,0.030718909637016147,0.06168861457036104,0.0730717791411043,1.0,0.0
stable_shots_b50_lb2_k2_eps0p005,stable_shots,b50_lb2_k2_eps0p005,50.0,2.0,2.0,0.005,180,0.8944444444444445,5600.0,8734.444444444445,19950.0,19950.0,0.029180263157894702,0.02965634663443097,0.05854857984559118,0.0711652542372881,1.0,0.0
stable_shots_b50_lb2_k3_eps0p005,stable_shots,b50_lb2_k3_eps0p005,50.0,2.0,3.0,0.005,180,0.8944444444444445,5925.0,8901.111111111111,20000.0,20000.0,0.0278413810233482,0.028371563831856753,0.05791187219138244,0.0705537190082644,1.0,0.0
stable_shots_b100_lb1_k3_eps0p005,stable_shots,b100_lb1_k3_eps0p005,100.0,1.0,3.0,0.005,180,0.9055555555555556,6050.0,9076.111111111111,20000.0,20000.0,0.027157228859868397,0.027010782472603693,0.056380510204081566,0.0704581081081081,0.9222222222222223,0.07777777777777778
stable_shots_b50_lb2_k5_eps0p005,stable_shots,b50_lb2_k5_eps0p005,50.0,2.0,5.0,0.005,180,0.9055555555555556,6225.0,9148.888888888889,20000.0,20000.0,0.0268027432712215,0.026684581297834305,0.05637138559148585,0.0697196721311475,0.9222222222222223,0.07777777777777778
stable_shots_b50_lb3_k1_eps0p005,stable_shots,b50_lb3_k1_eps0p005,50.0,3.0,1.0,0.005,180,0.9888888888888889,6450.0,9749.722222222223,20000.0,20000.0,0.023743933987511102,0.020299206502924372,0.042570744680850994,0.0562214285714285,0.7388888888888889,0.2611111111111111
stable_shots_b50_lb3_k2_eps0p005,stable_shots,b50_lb3_k2_eps0p005,50.0,3.0,2.0,0.005,180,0.9944444444444445,6900.0,9995.833333333334,20000.0,20000.0,0.02224329996487525,0.019024415849435948,0.040125845588235266,0.0550292993630572,0.7333333333333333,0.26666666666666666
