bound_tau,bound_delta,bound,group_mode,calibration,test_eval_count,unique_test_traces,success_rate_all,uncovered_rate,success_rate_evaluable,success_rate_before_reference_cap,above_regular_budget_requested_rate,near_reference_cap_requested_rate,gap_uncovered_requested_rate,above_or_equal_reference_cap_requested_rate,reference_cap_rate,median_scaled_budget,mean_scaled_budget,p90_scaled_budget,median_scaled_tvd,mean_scaled_tvd,p90_scaled_tvd,max_scaled_tvd,fallback_rate
0.05,0.05,hoeffding,global,median,3600,180,0.7491666666666666,0.0,0.7491666666666666,0.24916666666666668,0.5,0.16666666666666666,0.0,0.3333333333333333,0.5,10500.0,10500.0,20000.0,0.00319999999999995,0.03668341666666665,0.1232499999999999,0.2099,0.0
0.05,0.05,hoeffding,global,p75,3600,180,0.9247222222222222,0.0,0.9247222222222222,0.25805555555555554,0.6666666666666666,0.0,0.0,0.6666666666666666,0.6666666666666666,20000.0,13916.666666666666,20000.0,0.0,0.011138291666666654,0.0476,0.07015,0.0
0.05,0.05,hoeffding,global,p90,3600,180,0.9769444444444444,0.0,0.9769444444444444,0.1436111111111111,0.8333333333333334,0.16666666666666666,0.0,0.6666666666666666,0.8333333333333334,20000.0,16833.333333333332,20000.0,0.0,0.005022916666666661,0.0261999999999999,0.07015,0.0
0.05,0.05,hoeffding,size,median,3600,180,0.8877777777777778,0.0,0.8877777777777778,0.5544444444444444,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,12500.0,11416.666666666666,20000.0,0.01195,0.021562981481481454,0.0505833333333333,0.07015,0.0
0.05,0.05,hoeffding,size,p75,3600,180,0.9488888888888889,0.0,0.9488888888888889,0.6155555555555555,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,12500.0,12120.833333333334,20000.0,0.0096,0.018196174382716035,0.04375,0.07015,0.0
0.05,0.05,hoeffding,size,p90,3600,180,0.9922222222222222,0.0,0.9922222222222222,0.6588888888888889,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,14000.0,12548.333333333334,20000.0,0.0085,0.015324890432098755,0.03835,0.07015,0.0
0.05,0.05,hoeffding,size_algorithm,median,3600,180,0.9247222222222222,0.0,0.9247222222222222,0.7580555555555556,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,5000.0,8798.194444444445,20000.0,0.0308999999999999,0.028106918209876527,0.0480722222222221,0.0594499999999999,0.0
0.05,0.05,hoeffding,size_algorithm,p75,3600,180,0.97,0.0,0.97,0.8033333333333333,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,5000.0,9210.0,20000.0,0.0286777777777779,0.025617695987654322,0.0431499999999999,0.0594499999999999,0.0
0.05,0.05,hoeffding,size_algorithm,p90,3600,180,0.97,0.0,0.97,0.8033333333333333,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,5000.0,9210.0,20000.0,0.0286777777777779,0.025617695987654322,0.0431499999999999,0.0594499999999999,0.0
0.05,0.05,weissman,global,median,3600,180,0.7238888888888889,0.0,0.7238888888888889,0.39055555555555554,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,10000.0,10333.333333333334,20000.0,0.0183,0.02939468981481479,0.0760499999999999,0.1033499999999999,0.0
0.05,0.05,weissman,global,p75,3600,180,0.9769444444444444,0.0,0.9769444444444444,0.47694444444444445,0.5,0.0,0.0,0.5,0.5,15000.0,12666.666666666666,20000.0,0.00225,0.013934958333333315,0.04145,0.07015,0.0
0.05,0.05,weissman,global,p90,3600,180,1.0,0.0,1.0,0.5,0.5,0.0,0.0,0.5,0.5,17500.0,13750.0,20000.0,0.00082499999999995,0.009659805555555536,0.0295999999999999,0.04145,0.0
0.05,0.05,weissman,size,median,3600,180,0.9108333333333334,0.0,0.9108333333333334,0.5775,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,12500.0,11666.666666666666,20000.0,0.0101666666666666,0.019388134259259233,0.0497166666666666,0.06595,0.0
0.05,0.05,weissman,size,p75,3600,180,0.9719444444444445,0.0,0.9719444444444445,0.6386111111111111,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,12500.0,12370.833333333334,20000.0,0.0087499999999999,0.01602132716049381,0.04135,0.06595,0.0
0.05,0.05,weissman,size,p90,3600,180,1.0,0.0,1.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,14000.0,12583.333333333334,20000.0,0.0085,0.014983043209876534,0.0383,0.0477499999999999,0.0
0.05,0.05,weissman,size_algorithm,median,3600,180,0.9308333333333333,0.0,0.9308333333333333,0.7641666666666667,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,5000.0,9006.527777777777,20000.0,0.02885,0.026541251543209864,0.0465999999999999,0.0594499999999999,0.0
0.05,0.05,weissman,size_algorithm,p75,3600,180,0.9761111111111112,0.0,0.9761111111111112,0.8094444444444444,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,5000.0,9385.833333333334,20000.0,0.02795,0.024448848765432102,0.0428,0.0594499999999999,0.0
0.05,0.05,weissman,size_algorithm,p90,3600,180,0.9761111111111112,0.0,0.9761111111111112,0.8094444444444444,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,5000.0,9385.833333333334,20000.0,0.02795,0.024448848765432102,0.0428,0.0594499999999999,0.0
